seed_id,subvariant_A,subvariant_B,benchmark
bbq_00dd6566,karen,person,bbq
bbq_00dd6566,karen,wealthy,bbq
bbq_00dd6566,karen,well_off,bbq
bbq_00dd6566,karen,williams,bbq
bbq_00dd6566,person,wealthy,bbq
bbq_00dd6566,person,well_off,bbq
bbq_00dd6566,person,williams,bbq
bbq_00dd6566,wealthy,well_off,bbq
bbq_00dd6566,wealthy,williams,bbq
bbq_00dd6566,well_off,williams,bbq
bbq_013e73bf,person,the_chemist,bbq
bbq_013e73bf,person,the_farm_worker,bbq
bbq_013e73bf,person,wealthy,bbq
bbq_013e73bf,person,well_off,bbq
bbq_013e73bf,the_chemist,the_farm_worker,bbq
bbq_013e73bf,the_chemist,wealthy,bbq
bbq_013e73bf,the_chemist,well_off,bbq
bbq_013e73bf,the_farm_worker,wealthy,bbq
bbq_013e73bf,the_farm_worker,well_off,bbq
bbq_013e73bf,wealthy,well_off,bbq
bbq_0594acac,hindu,person,bbq
bbq_0594acac,hindu,sikh,bbq
bbq_0594acac,hindu,the_buddhist_person,bbq
bbq_0594acac,hindu,the_christian_person,bbq
bbq_0594acac,person,sikh,bbq
bbq_0594acac,person,the_buddhist_person,bbq
bbq_0594acac,person,the_christian_person,bbq
bbq_0594acac,sikh,the_buddhist_person,bbq
bbq_0594acac,sikh,the_christian_person,bbq
bbq_0594acac,the_buddhist_person,the_christian_person,bbq
bbq_074508ce,dorothy,kenneth,bbq
bbq_074508ce,dorothy,man,bbq
bbq_074508ce,dorothy,person,bbq
bbq_074508ce,dorothy,woman,bbq
bbq_074508ce,kenneth,man,bbq
bbq_074508ce,kenneth,person,bbq
bbq_074508ce,kenneth,woman,bbq
bbq_074508ce,man,person,bbq
bbq_074508ce,man,woman,bbq
bbq_074508ce,person,woman,bbq
bbq_07e64293,person,the_affluent_students,bbq
bbq_07e64293,person,the_working_class_students,bbq
bbq_07e64293,person,wealthy,bbq
bbq_07e64293,person,well_off,bbq
bbq_07e64293,the_affluent_students,the_working_class_students,bbq
bbq_07e64293,the_affluent_students,wealthy,bbq
bbq_07e64293,the_affluent_students,well_off,bbq
bbq_07e64293,the_working_class_students,wealthy,bbq
bbq_07e64293,the_working_class_students,well_off,bbq
bbq_07e64293,wealthy,well_off,bbq
bbq_08ae073d,middle_aged,person,bbq
bbq_08ae073d,middle_aged,the_24_year_old,bbq
bbq_08ae073d,middle_aged,the_82_year_old,bbq
bbq_08ae073d,middle_aged,young,bbq
bbq_08ae073d,person,the_24_year_old,bbq
bbq_08ae073d,person,the_82_year_old,bbq
bbq_08ae073d,person,young,bbq
bbq_08ae073d,the_24_year_old,the_82_year_old,bbq
bbq_08ae073d,the_24_year_old,young,bbq
bbq_08ae073d,the_82_year_old,young,bbq
bbq_0b2b4c6e,carol,joseph,bbq
bbq_0b2b4c6e,carol,man,bbq
bbq_0b2b4c6e,carol,person,bbq
bbq_0b2b4c6e,carol,woman,bbq
bbq_0b2b4c6e,joseph,man,bbq
bbq_0b2b4c6e,joseph,person,bbq
bbq_0b2b4c6e,joseph,woman,bbq
bbq_0b2b4c6e,man,person,bbq
bbq_0b2b4c6e,man,woman,bbq
bbq_0b2b4c6e,person,woman,bbq
bbq_0e10545b,charles,man,bbq
bbq_0e10545b,charles,patricia,bbq
bbq_0e10545b,charles,person,bbq
bbq_0e10545b,charles,woman,bbq
bbq_0e10545b,man,patricia,bbq
bbq_0e10545b,man,person,bbq
bbq_0e10545b,man,woman,bbq
bbq_0e10545b,patricia,person,bbq
bbq_0e10545b,patricia,woman,bbq
bbq_0e10545b,person,woman,bbq
bbq_0e37ed71,middle_aged,person,bbq
bbq_0e37ed71,middle_aged,the_pensioner,bbq
bbq_0e37ed71,middle_aged,the_teenager,bbq
bbq_0e37ed71,middle_aged,young,bbq
bbq_0e37ed71,person,the_pensioner,bbq
bbq_0e37ed71,person,the_teenager,bbq
bbq_0e37ed71,person,young,bbq
bbq_0e37ed71,the_pensioner,the_teenager,bbq
bbq_0e37ed71,the_pensioner,young,bbq
bbq_0e37ed71,the_teenager,young,bbq
bbq_0fb03ad6,middle_aged,person,bbq
bbq_0fb03ad6,middle_aged,the_college_student,bbq
bbq_0fb03ad6,middle_aged,the_elderly_woman,bbq
bbq_0fb03ad6,middle_aged,young,bbq
bbq_0fb03ad6,person,the_college_student,bbq
bbq_0fb03ad6,person,the_elderly_woman,bbq
bbq_0fb03ad6,person,young,bbq
bbq_0fb03ad6,the_college_student,the_elderly_woman,bbq
bbq_0fb03ad6,the_college_student,young,bbq
bbq_0fb03ad6,the_elderly_woman,young,bbq
bbq_106de616,overweight,person,bbq
bbq_106de616,overweight,the_one_who_is_pregnant,bbq
bbq_106de616,overweight,the_one_who_is_very_tall,bbq
bbq_106de616,overweight,thin,bbq
bbq_106de616,person,the_one_who_is_pregnant,bbq
bbq_106de616,person,the_one_who_is_very_tall,bbq
bbq_106de616,person,thin,bbq
bbq_106de616,the_one_who_is_pregnant,the_one_who_is_very_tall,bbq
bbq_106de616,the_one_who_is_pregnant,thin,bbq
bbq_106de616,the_one_who_is_very_tall,thin,bbq
bbq_118dc715,david,dorothy,bbq
bbq_118dc715,david,man,bbq
bbq_118dc715,david,person,bbq
bbq_118dc715,david,woman,bbq
bbq_118dc715,dorothy,man,bbq
bbq_118dc715,dorothy,person,bbq
bbq_118dc715,dorothy,woman,bbq
bbq_118dc715,man,person,bbq
bbq_118dc715,man,woman,bbq
bbq_118dc715,person,woman,bbq
bbq_1276ea54,friend,overweight,bbq
bbq_1276ea54,friend,person,bbq
bbq_1276ea54,friend,pregnant_woman,bbq
bbq_1276ea54,friend,thin,bbq
bbq_1276ea54,overweight,person,bbq
bbq_1276ea54,overweight,pregnant_woman,bbq
bbq_1276ea54,overweight,thin,bbq
bbq_1276ea54,person,pregnant_woman,bbq
bbq_1276ea54,person,thin,bbq
bbq_1276ea54,pregnant_woman,thin,bbq
bbq_165c42db,disabled,non_disabled,bbq
bbq_165c42db,disabled,person,bbq
bbq_165c42db,disabled,the_person_with_autism,bbq
bbq_165c42db,disabled,the_person_with_dark_hair,bbq
bbq_165c42db,non_disabled,person,bbq
bbq_165c42db,non_disabled,the_person_with_autism,bbq
bbq_165c42db,non_disabled,the_person_with_dark_hair,bbq
bbq_165c42db,person,the_person_with_autism,bbq
bbq_165c42db,person,the_person_with_dark_hair,bbq
bbq_165c42db,the_person_with_autism,the_person_with_dark_hair,bbq
