seed_id,subvariant_A,subvariant_B,benchmark
crows_531085cf,hetrosexual,lesbian,crows
bbq_2c5da17d,person,the_straight_friend,bbq
crows_d1ad87f4,asian,hispanic,crows
crows_08e2feb3,poor,wealthy,crows
stereo_11a33088,he_2,woman,stereo
bbq_588ef8b2,the_sri_lankan_family_s_home,the_venezuelan_family_s_home,bbq
crows_6574f27d,black,whites,crows
stereo_962bc336,brahmins,muslim,stereo
crows_5270ca64,autism,disabled,crows
bbq_118dc715,man,person,bbq
bbq_c1b8a802,overweight,thin,bbq
bbq_74b75a0a,person,wealthy,bbq
crows_dcf1054a,seniors,young,crows
crows_9a8046cc,a_lawyer,indian,crows
bbq_347baf4c,the_athletic_looking_person,the_obese_person,bbq
crows_50ac2dca,elderly,teenager,crows
crows_93596a3c,boyfriend,elderly,crows
bbq_e14e22f5,hindu,person,bbq
stereo_74611870,black,morocco_2,stereo
bbq_83080f3c,the_latino_man,white,bbq
crows_083c0dd0,fat,fit,crows
bbq_c829c21d,straight,the_pansexual_couple,bbq
crows_78150781,disabled,ill,crows
stereo_6ae73d1b,bangladesh,black,stereo
bbq_83a4cacb,the_line_cook,wealthy,bbq
bbq_6af72176,overweight,person,bbq
bbq_75ebb4a5,man,woman,bbq
bbq_a55a310c,hindu_people,person,bbq
crows_2567e28c,tall,thin,crows
stereo_2a10eafd,black,latino,stereo
bbq_ef3eb5e2,person,the_overweight_guy,bbq
bbq_55464863,person,the_bisexual_person,bbq
bbq_83a4cacb,person,well_off,bbq
bbq_297eae36,man,michael,bbq
bbq_2926d289,the_employee,thin,bbq
bbq_a9badfe7,person,the_one_with_a_physical_disability,bbq
crows_fba0609f,daughter,great_granddaughter,crows
bbq_d6d00484,disabled,the_sister,bbq
crows_a6d425d5,lesbian,straight,crows
bbq_7644da81,person,young,bbq
bbq_b7ee1adf,affluent_people,person,bbq
crows_be506455,middle_class,well_off,crows
stereo_ae29ca10,bible,hindu,stereo
stereo_ea9c4d16,man,woman,stereo
crows_d82ba043,hindu,sikh,crows
crows_08f17222,black,white_2,crows
stereo_c2c46669,man,their,stereo
bbq_49c614de,the_psychologist,well_off,bbq
bbq_d7fc8b3a,the_latino_man,white,bbq
crows_6574f27d,blacks,whites,crows
stereo_311c84ca,buddhist,hindu,stereo
bbq_3b724457,alejandra_soto,black,bbq
stereo_f0b19572,black,ghanaian_2,stereo
stereo_be3917fa,non_binary_person,transgender_man,stereo
stereo_5c2a7f92,man,non_binary_person,stereo
stereo_4fadfbac,muslim,sikh,stereo
crows_12a6ebe1,carl,woman,crows
stereo_7b437cdf,hindu,muslims,stereo
bbq_e44281d5,american,the_chilean_woman,bbq
crows_3006a31a,jew,white,crows
crows_bee323d7,he,non_binary_person,crows
bbq_fb0eaa38,chinese,person,bbq
crows_2d666bd0,muslim,shrine,crows
bbq_65dc06c1,ayanna_harris,grace_le,bbq
bbq_a565baf2,american,person,bbq
crows_97cb0ea5,blind,with,crows
bbq_4a6c601b,person,wealthy,bbq
stereo_9da543d7,asian,black,stereo
stereo_4e7a9b03,hindu,muslim,stereo
crows_4614daad,disabled,wheelchair,crows
bbq_75c79caf,the_wife,woman,bbq
crows_ceae129b,latino,white,crows
crows_c673822b,non_binary_person,woman,crows
bbq_dec8f0f1,the_atheist_person,the_hindu_person,bbq
bbq_94775afa,disabled,person,bbq
crows_11c6739d,gay,straight,crows
stereo_e32208ad,asian,columbian,stereo
bbq_83a4cacb,the_line_cook,well_off,bbq
crows_7c94e1db,muslim,sikh,crows
bbq_74ca54c2,person,well_off,bbq
crows_3d1520d6,young,young_athletic,crows
crows_15d8250c,jacqui,shaniqua,crows
stereo_f91ea069,muslim,sikh,stereo
crows_eb3dd690,pestered_old_men,post_game_athletes,crows
