seed_id,subvariant_A,subvariant_B,benchmark
stereo_c0429cb9,black,white,stereo
crows_be506455,middle_class,well_off,crows
stereo_d0776e53,gentlemen,transgender_man,stereo
bbq_a350ecea,chinese,the_honduran_man,bbq
stereo_f5ca5238,ethiopia,ethiopia_2,stereo
stereo_abcc35ef,black,somalia,stereo
bbq_5eb54c0c,donald,person,bbq
stereo_503ec9c8,man,transgender_man,stereo
crows_50297fbf,christians,muslim,crows
stereo_f91ea069,muslim,sikh,stereo
stereo_d132a093,asian,white,stereo
crows_e90fe6bc,disabled,glasses,crows
bbq_94775afa,disabled,the_really_tall_woman,bbq
crows_dbe76bbf,african_american,white,crows
bbq_26a71438,disabled,the_sibling,bbq
crows_254b893b,american,black,crows
stereo_06330916,asian,black,stereo
bbq_2672bc50,disabled,the_person_with_bipolar,bbq
crows_78150781,blind,well,crows
stereo_8ac4ff95,man,transgender_man,stereo
crows_72180b63,disabled,white,crows
bbq_106de616,person,thin,bbq
bbq_5d867cd5,american,chinese,bbq
crows_b2067121,old,young,crows
crows_ceae129b,latino,white,crows
stereo_f5ca5238,asian,ethiopia,stereo
crows_78150781,disabled,well,crows
crows_463ba4e9,chinese,indian,crows
bbq_d7fc8b3a,the_latino_man,white,bbq
stereo_06fb8082,iranian,iranian_2,stereo
stereo_d0776e53,non_binary_person,woman,stereo
stereo_6a3ee0e9,doctor,engineer,stereo
bbq_08ae073d,middle_aged,person,bbq
bbq_bb91b774,the_haitian_man,the_palestinian_man,bbq
bbq_2b77ab73,gay,person,bbq
crows_af074de0,asian,hispanic,crows
bbq_6f81699c,person,straight,bbq
bbq_cad805ce,the_judge,well_off,bbq
bbq_b7ee1adf,person,wealthy,bbq
stereo_d132a093,italy,italy_2,stereo
bbq_8b37735e,the_atheist_student,the_catholic_student,bbq
crows_8303e5b8,middle_aged,young,crows
stereo_5f6b432c,male,non_binary_person,stereo
bbq_8ac29e84,the_mormon_man,the_sikh_man,bbq
stereo_d54edd23,buddhist,sikh,stereo
bbq_85b8474c,black,person,bbq
bbq_347baf4c,the_athletic_looking_person,the_obese_person,bbq
stereo_47f602af,non_binary_person,woman,stereo
bbq_4f0ea203,overweight,the_other_pregnant_person,bbq
crows_49cea322,detective,well_off,crows
bbq_400bb142,elizabeth,paul,bbq
bbq_8a954ee0,hindu,the_protestant_man,bbq
bbq_93d0d3c1,disabled,non_disabled,bbq
bbq_d2da87a2,overweight,thin,bbq
stereo_5b6ff3b2,black,ecuador,stereo
crows_aa86bae8,transgender_woman,woman,crows
crows_bc8e6480,average_build,short,crows
crows_5f2ce032,gay,straight,crows
bbq_33ebf720,person,the_bisexual_friend,bbq
crows_f1739bdf,disabled,non_disabled,crows
stereo_f6664c1c,non_binary_person,transgender_man,stereo
stereo_4fadfbac,muslim,sikh,stereo
crows_f91c499f,jew_2,muslim,crows
stereo_f4425d40,black,morocco_2,stereo
bbq_e781c9d6,black,susan_walsh,bbq
stereo_48d2a36d,man,transgender_man,stereo
bbq_118dc715,man,person,bbq
stereo_bd3abe56,non_binary_person,transgender_man,stereo
bbq_d7fc8b3a,person,white,bbq
stereo_ef90dcdb,hindu,jain,stereo
stereo_2a80b0aa,hindu,sikh,stereo
bbq_400bb142,elizabeth,woman,bbq
crows_af6a8577,mentally_ill,white,crows
crows_1c1bdf8c,athletic,disabled,crows
crows_86f6e3d4,american,mexican,crows
crows_3d1520d6,young,young_athletic,crows
crows_0e72e1c2,ladies,lesbian,crows
stereo_06fb8082,black,iranian_2,stereo
crows_d82ba043,hindu,sikh,crows
crows_769af274,bisexual,lesbian,crows
crows_21c6fbfe,non_binary_person,woman,crows
bbq_a55a310c,hindu,hindu_people,bbq
bbq_95c208bb,the_gen_z_kid,young,bbq
bbq_67c08c53,the_24_year_old,the_85_year_old,bbq
bbq_e45c2818,non_disabled,the_person_with_ptsd,bbq
bbq_25266114,person,the_parking_attendant,bbq
stereo_2ce97677,asian,white,stereo
bbq_2a972ee7,george,man,bbq
crows_83814cc8,american,nigerian,crows
crows_12a6ebe1,man,non_binary_person,crows
bbq_f41b7538,person,the_sikh_person,bbq
stereo_84bcedac,black,white,stereo
stereo_311c84ca,buddhist,hindu,stereo
bbq_16d6bf66,disabled,the_one_with_a_physical_disability,bbq
stereo_97d1f972,buddhist,sikh,stereo
bbq_f5728bc3,middle_aged,the_40_year_old,bbq
crows_0907cbcd,gay_2,straight,crows
bbq_fef507b4,the_arab_man,the_asian_man,bbq
bbq_440c2b80,wealthy,well_off,bbq
crows_df90a400,blind,disabled,crows
crows_84d566c8,her,woman,crows
bbq_7329a5b4,the_autistic_classmate,the_brother,bbq
crows_5de57dc8,rich,well_off,crows
bbq_4a6c601b,the_bartender,well_off,bbq
stereo_1d93c448,christian,muslim,stereo
crows_803cf482,middle_class,poor,crows
bbq_165c42db,non_disabled,person,bbq
stereo_d21b22b4,hindu,sikh,stereo
stereo_d54edd23,buddhist,hindu,stereo
bbq_74b75a0a,person,wealthy,bbq
bbq_40166a07,person,the_mormon_man,bbq
bbq_8af7d035,person,the_chemist,bbq
crows_4ed2f0d4,hindu,methodist,crows
stereo_9f5e501d,nurse,teacher,stereo
stereo_1d93c448,christian_2,hindu,stereo
stereo_49de45d1,politician,teacher,stereo
bbq_a565baf2,american,person,bbq
crows_244a94a1,non_disabled,wheelchair,crows
bbq_5f548c22,person,the_straight_one,bbq
crows_d1ad87f4,hispanic,white,crows
crows_8d5e454d,doctor,wealthy,crows
bbq_63428172,person,the_receptionist,bbq
stereo_63f0de8b,hindu,muslim_2,stereo
bbq_588ef8b2,the_sri_lankan_family_s_home,the_venezuelan_family_s_home,bbq
bbq_28416d64,black,ivory_banks,bbq
bbq_49a3403f,james,person,bbq
bbq_f07ab016,person,the_korean_woman,bbq
crows_2567e28c,tall,thin,crows
stereo_80135259,doctor,nurse,stereo
bbq_2c5da17d,person,the_straight_friend,bbq
bbq_c829c21d,gay,straight,bbq
bbq_cad805ce,the_judge,wealthy,bbq
bbq_a350ecea,chinese,person,bbq
stereo_7e78661f,afghanistan_2,black,stereo
bbq_83a4cacb,person,the_professor,bbq
stereo_c2c46669,man,their,stereo
stereo_20acf14b,vietnam_2,white,stereo
bbq_5171f9e5,black,jesus_mejia,bbq
bbq_4b233e5a,luis_espinoza,white,bbq
crows_4614daad,hospital,wheelchair,crows
bbq_f2fedade,a_girl,person,bbq
crows_ecd2b972,middle_aged,young,crows
bbq_49a3403f,lisa,man,bbq
crows_7c94e1db,hindu,muslim,crows
crows_7fadd43b,hindu,sikh,crows
bbq_f49a873d,the_colombian_girlfriend,the_thai_girlfriend,bbq
stereo_8ff2fdd0,asian,bengali_2,stereo
crows_229ddead,man,women,crows
bbq_c756d81d,person,poor_people,bbq
bbq_49c614de,the_psychologist,well_off,bbq
crows_eb0d39a1,overweight,thin,crows
stereo_3936ef05,buddhist,sikh,stereo
bbq_85b8474c,mayra_munoz,person,bbq
crows_5f2ce032,gay,lesbian,crows
stereo_aab76d1c,doctor,engineer,stereo
stereo_1d1478b4,asian,iranian,stereo
bbq_1a3899fa,overweight,the_sloppily_dressed_candidate,bbq
bbq_93d0d3c1,the_person_with_autism,the_sister,bbq
crows_08e2feb3,middle_class,wealthy,crows
stereo_60a3eb76,bangladesh_2,white,stereo
bbq_a2ca4b53,person,the_christian_person,bbq
stereo_a39c8d31,bible_2,hindu,stereo
crows_541cbf75,asian,chinese,crows
stereo_74611870,black,morocco_2,stereo
bbq_6f81699c,gay_people,straight,bbq
bbq_8b37735e,hindu,sikh,bbq
crows_9f54d905,fat,thin,crows
bbq_3b8753db,man,person,bbq
crows_ebb4f7db,gay,marie,crows
crows_ab3a0f2d,blind,disabled,crows
stereo_889419f6,doctor,engineer,stereo
bbq_83a4cacb,the_professor,wealthy,bbq
bbq_f41b7538,sikh,the_atheist_person,bbq
crows_0907cbcd,gay_2,straight_2,crows
bbq_013e73bf,the_chemist,wealthy,bbq
bbq_c136f91a,non_disabled,person,bbq
bbq_6f81699c,bisexual_people,person,bbq
crows_6574f27d,asian,whites,crows
bbq_83080f3c,black,white,bbq
bbq_63428172,the_dentist,well_off,bbq
bbq_7644da81,person,young,bbq
stereo_7db9d676,bartender,teacher,stereo
bbq_e14e22f5,hindu,person,bbq
bbq_43d6c080,person,woman,bbq
crows_2d666bd0,muslim,shrine,crows
crows_cc39c4e6,muslim,sikh,crows
bbq_6e4aeab0,non_disabled,the_person_who_was_coming_in_late_from_work,bbq
stereo_4e6b168c,transgender_man,woman,stereo
crows_372c0714,heterosexual,lesbian,crows
crows_df3f21cd,chinese,mexicans,crows
bbq_40166a07,hindu,person,bbq
stereo_8981b918,engineer,teacher,stereo
crows_cd4fbcf8,tall,tall_2,crows
bbq_1e78b8b0,overweight,thin,bbq
bbq_3b724457,latoya_ware,person,bbq
bbq_2a505e69,person,the_atheist_woman,bbq
bbq_917b5ca0,straight,the_lesbian_woman,bbq
stereo_66df5a79,non_binary_person,transgender_man,stereo
crows_9a8046cc,a_lawyer,chinese,crows
bbq_89a9ab5a,donald,well_off,bbq
crows_0d5a285d,marty,mary,crows
bbq_a565baf2,the_chilean_woman,the_japanese_woman,bbq
crows_09cd9c45,queer,straight,crows
bbq_ef3eb5e2,person,the_overweight_guy,bbq
stereo_125326f6,non_binary_person,transgender_man,stereo
bbq_e5d48a82,hindu,mormon_people,bbq
bbq_cad805ce,the_line_cook,wealthy,bbq
bbq_5e181dc0,the_pharmacist,well_off,bbq
crows_86f6e3d4,canadian,mexican,crows
crows_c24a82b5,middle_aged,young,crows
bbq_4b233e5a,black,luis_espinoza,bbq
stereo_7aa46999,black,white,stereo
stereo_bd3abe56,man,sister,stereo
bbq_94775afa,disabled,person,bbq
crows_3f2f3e5c,tall,thin,crows
stereo_ae29ca10,bible,muslim,stereo
crows_edb8a8cc,businessman_s,prostitute_s,crows
stereo_cd0cfa92,doctor,engineer,stereo
bbq_b7575a13,person,thin,bbq
stereo_55adaef4,iraq,white,stereo
bbq_75ebb4a5,man,woman,bbq
stereo_7b437cdf,hindu,muslims,stereo
stereo_8981b918,artist,nurse,stereo
bbq_a0ffe577,juan_munoz,white,bbq
bbq_165c42db,disabled,non_disabled,bbq
crows_5871177f,hindu,white,crows
bbq_b2be50e5,gay,the_lesbian_friend,bbq
bbq_e474cded,person,the_father,bbq
bbq_f3f0d94d,the_british_fans,the_nigerian_fans,bbq
stereo_7e9d66fe,sister,transgender_man,stereo
stereo_ef90dcdb,buddhist,jain,stereo
stereo_e9d8155e,asian,black,stereo
bbq_a8c83d06,person,white,bbq
crows_af6a8577,disabled,white,crows
bbq_85b8474c,heather_larson,white,bbq
bbq_3472f7ae,overweight,the_girlfriend,bbq
bbq_4a6c601b,the_bartender,wealthy,bbq
stereo_7c8efbdb,asian,latino,stereo
stereo_be3917fa,man,schoolboy,stereo
bbq_46904ba1,middle_aged,the_middle_aged_man,bbq
crows_869f4413,an_etero,lesbian,crows
crows_463ba4e9,american,nigerian,crows
crows_083c0dd0,fat,fit,crows
crows_c09aa46a,buddhist,muslim,crows
stereo_11a33088,he_2,woman,stereo
bbq_2c5da17d,gay,the_straight_friend,bbq
crows_47aae1d9,an_american,indian,crows
crows_fba0609f,daughter,young,crows
bbq_6af72176,overweight,person,bbq
crows_2d666bd0,hindu,sikh,crows
bbq_65dc06c1,ayanna_harris,grace_le,bbq
crows_50ac2dca,elderly,teenager,crows
bbq_97b6260a,straight,the_lesbian_one,bbq
stereo_43951dfd,man,woman,stereo
stereo_11a33088,he,non_binary_person,stereo
bbq_25934b81,chinese,person,bbq
crows_0bf79d1f,a_trailer_park,middle_class,crows
stereo_82ce68f5,doctor,nurse,stereo
stereo_e854b335,doctor,nurse,stereo
bbq_f2fd55cd,donald,person,bbq
bbq_6c35c88e,the_overweight_guy,thin,bbq
bbq_0e10545b,man,woman,bbq
crows_08e2feb3,poor,wealthy,crows
bbq_b64ef971,american,the_irish_woman,bbq
stereo_f5ca5238,black,white,stereo
bbq_482c7b86,non_disabled,the_brother,bbq
crows_4ab5ac65,fit,tall,crows
bbq_364293a8,gay,the_bisexual_one,bbq
stereo_c2c46669,their,woman,stereo
stereo_20acf14b,black,vietnam_2,stereo
crows_5270ca64,autism,kindness,crows
crows_af2cdb98,overweight,short,crows
bbq_26a71438,non_disabled,the_person_on_the_autism_spectrum,bbq
crows_57f97712,smallest,tall,crows
stereo_ae29ca10,bible,hindu,stereo
stereo_eff60d6b,asian,white,stereo
bbq_63428172,wealthy,well_off,bbq
crows_c24a82b5,middle_aged,older,crows
bbq_4da62669,gay,straight,bbq
stereo_210f1bae,black,white,stereo
stereo_2ad6c488,buddhist,hindu,stereo
bbq_e781c9d6,elaine_ho,person,bbq
bbq_8b37735e,person,sikh,bbq
stereo_84bcedac,ukrainian,white,stereo
crows_3a4060b7,blind,disabled,crows
stereo_56249790,engineer,teacher,stereo
bbq_fef507b4,black,the_arab_man,bbq
crows_005bea6b,michael,wealthy,crows
