model_name,aggregation,target,population,n_seeds,prevalence,auroc,avg_precision,n_rank0,n_sentinel,caveat
gemma-2-2b-it,mean_pair,never_repaired,all_seeds,508,0.04330708661417323,0.9499158249158249,0.3947038032424891,419,22,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
gemma-2-2b-it,mean_pair,never_repaired,initially_failing,89,0.24719101123595505,0.6367028493894166,0.3947038032424891,0,22,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
gemma-2-2b-it,mean_pair,high_or_never,all_seeds,508,0.06496062992125984,0.9643062200956938,0.5563543971383381,419,22,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
gemma-2-2b-it,mean_pair,high_or_never,initially_failing,89,0.3707865168539326,0.6972402597402597,0.5563543971383381,0,22,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
gemma-2-2b-it,mean_pair,worsened_at_oprank,all_seeds,508,0.4094488188976378,0.36879807692307687,0.32608175242738646,419,22,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
gemma-2-2b-it,mean_pair,worsened_at_oprank,initially_failing,89,0.20224719101123595,0.3583724569640063,0.162341423988362,0,22,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
gemma-2-2b-it,worst_pair,never_repaired,all_seeds,508,0.08267716535433071,0.9413447782546496,0.5273299725965824,391,42,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
gemma-2-2b-it,worst_pair,never_repaired,initially_failing,117,0.358974358974359,0.6355555555555555,0.5273299725965825,0,42,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
gemma-2-2b-it,worst_pair,high_or_never,all_seeds,508,0.1062992125984252,0.9567629303312123,0.6663523578173434,391,42,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
gemma-2-2b-it,worst_pair,high_or_never,initially_failing,117,0.46153846153846156,0.6884185773074661,0.6663523578173434,0,42,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
gemma-2-2b-it,worst_pair,worsened_at_oprank,all_seeds,508,0.39173228346456695,0.3911141467857085,0.3194006026140031,391,42,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
gemma-2-2b-it,worst_pair,worsened_at_oprank,initially_failing,117,0.2564102564102564,0.3153256704980843,0.18959037970425696,0,42,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
llama-3.1-8b-instruct,mean_pair,never_repaired,all_seeds,508,0.0610236220472441,0.9742003110840602,0.671118481520472,405,31,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
llama-3.1-8b-instruct,mean_pair,never_repaired,initially_failing,103,0.30097087378640774,0.8290770609318996,0.671118481520472,0,31,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
llama-3.1-8b-instruct,mean_pair,high_or_never,all_seeds,508,0.07480314960629922,0.9744960806270997,0.7106921661453676,405,31,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
llama-3.1-8b-instruct,mean_pair,high_or_never,initially_failing,103,0.36893203883495146,0.8155870445344129,0.7106921661453675,0,31,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
llama-3.1-8b-instruct,mean_pair,worsened_at_oprank,all_seeds,508,0.36023622047244097,0.29171080285834383,0.258591860021558,405,31,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
llama-3.1-8b-instruct,mean_pair,worsened_at_oprank,initially_failing,103,0.13592233009708737,0.3378812199036918,0.11098387288551882,0,31,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
llama-3.1-8b-instruct,worst_pair,never_repaired,all_seeds,508,0.12992125984251968,0.9382969971205265,0.6424949116440158,349,66,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
llama-3.1-8b-instruct,worst_pair,never_repaired,initially_failing,159,0.41509433962264153,0.7067448680351907,0.6424949116440158,0,66,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
llama-3.1-8b-instruct,worst_pair,high_or_never,all_seeds,508,0.16141732283464566,0.9423737547234627,0.7025002109923975,349,66,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
llama-3.1-8b-instruct,worst_pair,high_or_never,initially_failing,159,0.5157232704402516,0.681184668989547,0.7025002109923975,0,66,predictor and target both derive from |C_pre| vs TAU; part of AUC is mechanical; behavioural target REQUIRES_RERUN
